TYPE,Longitude,Latitude
hospital,72.653491,23.229151
hospital,72.6606658,23.2464106
hospital,72.639305,23.211897
hospital,72.6421536,23.215199
hospital,72.6599674,23.2355099
hospital,72.6470661,23.2468343
hospital,72.636796,23.208987
hospital,72.668528,23.266121
hospital,72.746797,23.1777
hospital,72.726203,23.219372
hospital,72.700156,23.181426
hospital,72.6280818,23.1817847
clinic,72.5004199,23.2406148
clinic,72.4936362,23.2407571
clinic,72.6408583,23.2152027
clinic,72.5015174,23.2383163
clinic,72.494743,23.227846
clinic,72.4933326,23.2464945
clinic,72.5948399,23.3121862
clinic,72.5028176,23.2525385
clinic,72.5025964,23.2411199
clinic,72.495422,23.243222
clinic,72.4948812,23.2498357
clinic,72.5086122,23.246433
clinic,72.4944304,23.2403871
clinic,72.4956214,23.2424869
clinic,72.5953233,23.3126051
clinic,72.504865,23.2351913
clinic,72.6380643,23.2090721
clinic,72.6531711,23.227907
clinic,72.6361499,23.2072732
clinic,72.629041,23.178993
clinic,72.6580999,23.2346906
clinic,72.637304,23.181673
clinic,72.652791,23.2344
clinic,72.6154503,23.2239143
clinic,72.6387319,23.1989368
clinic,72.6083933,23.1898721
clinic,72.668298,23.229615
clinic,72.6367501,23.1761355
clinic,72.6704365,23.239073
clinic,72.659152,23.2329268
clinic,72.6419467,23.2059926
clinic,72.6397689,23.2163869
clinic,72.6531515,23.2281393
clinic,72.636617,23.178224
clinic,72.630058,23.211776
clinic,72.6474108,23.2447781
